cleaned_text,Sarcastic
Awkward hand but yay for brown hair 😛,0
"aw Laur! Thank you so much gorgeous girl, missing you so much 👸😣 love you xxx",0
a women with a big heart! AMAZING person! I wish u love and true friends and great time with FAM 👑,0
Aww I love the fact that Jiyoon met up with Yubin to record the mixtape Neaga Neaga Hae! I wonder if they already ate sushi together 😂 ❤,0
Awww. They're actually wishing me happy birthday here @ dmv lol. . 😊,0
Awwww Super Diamond Heart Beautiful Nina. Thank you. May you have a truly beautiful blessed Weekend Princess 👑,0
🗣 I don't give a fuck I'll take your invite back,0
B12 injections aren't fun 😞,0
Baby shower was a success. So thankful for everyone who showed up. 💙,0
this made me tear up a little bit! I love you jerks so much ❣❣❣,0
Back in in one month 😃,0
Bae made my day today. Showed up with roses after me having a bad day 😩,0
Bahahahahahaha 😂 😂 😂 you're sister is so adorable and hilarious just like you Dylan i love you so much Dylan 😘 ❤️ 😍 😊,0
There is one that comes to mind 😎,0
yeah they are always packed 😒 😒 😒,0
nowt as normal lol working away but looking forward to my night out next week but I have to wear a dress 😳,0
Barca playing great football 😳,0
I was quoting Dan smith 😂 😂 😂 😝😝😝😝. Well I love to sneeze I feel fresh 😂 😅,0
bbq at our house with friends watching the fight 😌🇵,0
happy birthday 😈hope u have an amazin day ✊turn up,0
"bcs I took a nap earlier 😿, ga slapen jong x",0
beautiful day to have God bless you watching movies Friday a wonderful sun watching the street 😝,0
Beautifull weather 🙌 😍,0
Because you have your bestfriend 😌 😘 😁✊👫🔐,0
their school is so social and full of life and then there is Barrow High School 😂,0
he was so good. I was shocked. Not sure about his pants and shoes though... I mean it is very cold out 😂,0
"becky g "" break sweat "" in school fes 👑",0
"Bed "" by J. holiday Choreo by me 😁",0
Bed sweet bed I love you so much ❤ ❤,0
Been an awesome birthday with good company! Thank you everyone for the messages ❤️,0
Been procrastinating on finishing making my cake balls for the last 6 hours 😂 😁,0
Been rolling with my sisters since this morning ☺️,0
"been sleep ALL day, literally 😩",0
"Been thinking about you all a lot lately, missing you guys like crazy! I love you 💙💙💙",0
"Been to Gym, Been Food Shopping, been to Costa, Been to get Papers, bought my mum her BDay Card/Presents, a Tshirt! Nackered! 😥 😩",0
Ignorance is bliss 😒,0
"Before you start calling all black girls "" bald headed "", learn about shinkage 😂 😂",0
"being called "" babygirl, mine, babe, love, princess "" is literally the best feeling ever idc 😍",0
being genuinely happy is such a good feeling ☺️,0
"being hot must be exhausting, I'm almost glad I'm ugly 😂 I could not handle all the creeps my friends have to deal with",0
being in love sucks 🌸,0
Being off both jobs on a Friday 😋,0
while you tweet about your love for Michael I tweet about my love for you pretty much at the same time ok then 😂,0
thanks for fixing my problem! Beme team (Sebastian :) ) Finally I can use my favorite App again 😎,0
Be nice to be back at the ipro tomorrow 🐑,0
: PACH ANG CASE TOMORROW HEHEHE LOVE YOU 😘,0
Bernie Mac will forever be my favorite comedian/actor. 😂 😂 😩,0
is when the refrigerator is full of FOODS! 😍,0
Best feeling in the world. Glad to have everything back like its 09 💙,0
Bestfriend gave me her card and said do what you want 😊 😅,0
Best moments happens around friends. ♥,0
BEST TEXT I GOT IN A LONG TIME... 😍 😍 😭 😂 😂,0
Best text I've had in a long time 😌,0
the final look at our hand prints! 😘,0
Thank U for hugging me when I was crying tears of joy for finally meeting you. I love you Beth. Thanks ❤️,0
you're the best! Thanks for being such an awesome neighbor 😏 love you,0
better not go in my room I swear 😒,0
"Bet u had fun last night huh!? "" 😂 😂 😂",0
happy birthday we still not had our joint birthday yet 😂,0
Thank you for the greatest show of all time!!!! Never forget you are THE BADDEST BITCH ALIVE😻 I love you more than life!!! ❤️,0
Beyond excited to be playing in the state championship game tomorrow night ❤️ 🏐,0
Beyond exhausted is such an understatement right now 😴,0
hahah they are both always packed during the day 😂 & i know! i'm not excited for the mess lol,0
Happy Birthday babe! I hope you have an amazing day! 😘🎈,0
"goodnight beautiful, I hope you had good day today n I hope you have a good Sunday tomorrow 😍 follow back",0
Big shout out to 4 all the kind words & pushing this event that's very close our hearts! Thank u 2 everyone! ☺,0
BIIIIG MOMENT! SHOUT OUT OUR BROTHERS & ON WINNING AT THE 👦⚠️,0
Bitches be crying over niggas who don't give a fuck about them 😂 😂 😂 😂,0
Bitches be fronting they moooooooove 😩 😩 😩,0
Bitches be really intimidated by me. Like all your doing is boosting my confidence 😂,0
Bitches have no shame 😂 😂 😂,0
😑 😑 😑 😑 😑 😑 😑 😑 😑 😑 bitch gonna get a slap... 👋,0
Bitch I don't even do my home work during the week how you expect me to do some shut on the weekend. 😂 fuck outta here,0
bitch & TINA can careless about you.. 😴,0
My prayers are with you as well Sunshine in these tuff times 😔,0
oh nah that's nerdy lol... I appreciate the ones who do though 😌,0
"Blaming me for shit, you can fuck right off 😡😡😡😡",0
Blasting made in the am while it's raining is the perfect thing ahhah it's just that kind of mood that matches rainy days 😂 I'm so happy LOL,0
"jeez, can't a woman lie in bed looking across at a gorgeous man listen to him say he loves her without people getting judgy 😂",0
Blessed is an understatement.. Seriously so grateful for everything & everybody in my life 🏿 ❤️,0
Blessed is an understatement you are my idol Mo 👑,0
Blessed to have been on the Fall Retreat! Had a great time with some great people and got some great pictures 😊,0
Blessed to have this man in my life! Can't wait to see what the future has in store for us ❤️,0
we cant wait to see you guys in our sunny island! 😁 have a safe flight! ✈️,0
Block That Ass So You Know Its Real 😭 😭 😭 😭 😂 😂,0
"aw that's awesome! Thank you, Cathy! you're one of my best friends in the whole world too 😊",0
shit wish I did 😂,0
i guess so but they will probably break up again right? I'm trying to look at the brighter side of things haha 😀,0
Bonfire tonight should be great 😊,0
"Boring Tl Only Prince, Mandana and oh God 😞",0
both me and babygirl woke up in a happy mood today ☺️ hopefully it stays like that's & nobody fucks it up.,0
but whateva i ♥ all da songs & im super excited,0
"I started hyperventilating, I could not handle what was coming 😭",0
That's awesome (genuinely ). I've seen how much you struggle on here so definitely something to be proud of ☺ xx,0
I actually just went to Vic by myself because I had nothing to do 😆 😅,0
hehe I love you 😘,0
"Would you mind giving me updates re : the game?! I want to know... thanks, Branden! Hehehe! Love you! 😝",0
how you gonna charge your phone or anything? 😖,0
not ALL of it. I kept waking up and falling back asleep. Plus I saw that stats and highlights okay 😐,0
😂 😂 my credit card has a $700 credit limit sooo 😁,0
Bright side is Neymar or Messi will have to have this summer 😊,0
Bring back Playdium 😢,0
Bring back the summer so me and can tan nude in my backyard 😂,0
Bring back what once was mine.. 🎈,0
good morning britney ☀️👧👑🎤🎶 hope you'll be smiling 😄 from the time you wake up till you close your eyes 😊 I love you xo 😘💕,0
I love your new album 💜💜💜 The QUEEN is officially back! I've been a fan since,0
love you 💙 I'll never get over this,0
Our life our queen Our joy our sun our idol Our love is love you Britney 😍 😘 😍 😘 😙 😚 😘,0
no Britney we should thank you for an incredible performance. We love you so much. A night to remember 4 sure ❤ ❤ ❤ ❤ ❤ ❤ ❤,0
this one is the best second album of you ever ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤,0
Bro I love going to school seeing all my friends and shit 😹,0
"happy birthday brookey 👸, have an amazin day my darlin. Love you lots xxxx",0
Brother just shows up at my work 😊,0
don't trip yall. Season 2 in the works 😂,0
BRUH IM SO DEAD 😭 😭 😭,0
Bruh these little mama memes got me weaaaak. Done had me rolling all weekend some suck but some funny as shit 😂 😂 😂 😂 😂 😩,0
LMAO not you bestfriend 😭,0
Bryson tiller-two hearts been stuck in my head all damn day well the ending like dammiiittt 😞😞😞😞😞 😩 😩💙love his music shit,0
okay not hoes just bandwagon 📝 I'll write that down for next time lmao,0
"Btw, we're not comparing ourselves with other uni (s ). We just wanna give our best for everyone. That's all 😊",0
Buckle knows when I'm trying to pay off my credit card because every time they increase my credit limit 😒,0
"on me! That nigga's breath would smell like shit at 7 am in the morning. Like, I don't get it 😂",0
shit why not that means I got people following the movement ✊,0
Business meeting was successful 😌 now to get my pedicure done I need a massage!,0
But also probs being a disappointment to my favorite professor 😂 😂,0
.. But down in Miami the weather gets extra hot down here 😒,0
BUT HAPPY BIRTHDAY TO MY BABY I HOPE YOU HAVE AN AMAZING DAY SUNSHINE 😘 ~K 5 Seconds Of Summer,0
But instead I feel like I'm one of the strongest mf standing. Don't shit phase me 😂 😂 😂 😂 built to last and I'm not talking Ford,0
But it also reminds me how much I love school and international relations... incase I start to forget. 😐,0
But seriously you should all go to sleep 😇 X,0
but there is a lesson you learn that they don't when you have to learn to do it for yourself. ❤,0
Butt hurt gamers are crying in the comments cuz no bo2 for the rc.. 😂,0
is an absolute joy to watch in this kind of form 🏏,0
But uk beliebers on the bright side the purpose tour might be in our summer holidays 🇬🇧🇬🇧🇬🇧,0
buuuuut I love the fact that I'm finally home 😻,0
By the looks of my house this morning everyone had fun last night 😂,0
"Caitlyn can you come to 200 and speak to a resident. "" Goes to 200, "" Whatcha need sweet pea? "" "" Oh I just wanted a hug. "" 😍 😭",0
Good night Calogero 🌼💌🌃 I can't sleep now l should study 😉😪☺,0
"hi love, i know it's still early and you're asleep, but i love you and want you to know that ♥",0
looking in Good you man much style 👌 oh yeah,0
"Still waiting on the day when I log in & scream my lungs out seeing ur profile saying "" Follows you "" ❤",0
"Came home to a full fridge of Heineys and Stellas, Mama Dank is a saint 😇",0
HAPPY BIRTHDAY TO MY HUSBAND. YOU ARE THE REASON OF MY SMILE. THANKS SO MUCH 😢 😍 ❤,0
"Don't change for anyone. You are perfect just the way you are, Funny,caring and goofy. I love you ❤😍😘",0
Good because patience is the key. God will put everything in its place like it should be. I love you Cam ❤️😍😘 ❤️,0
HAPPY BDAY TO THE MOST GORGEOUS AND KIND PERSON IN THE WORLD. ILY TO THE MOON AND BACK LITERALLY ❤️ +22,0
"HAPPY BIRTHDAY! I hope your day goes great! Don't let anything or anyone ruin it, because today is your day! LOVE YOU! 💕🎂🎉",0
happy birthday love you lots u make me smile made this for u of evary I had screenshot off u ly ❤️ 🌍 😂,0
happy birthday my boy 💖 have an amazing day and enjoy your day🎉🎂 te amo muchisimo cameron,0
I get surprised when I listen that you like spanish songs on your snapchat story💗I love you💗,0
I just woke up 😊for me is almost 7 AM and I think for you is almost 12 AM right? Anyway Have a good night 😘 I love you ❤️ ❤️,0
I love how you talk to your mother on the phone... it's so cute... I LOVE IT... ❤ ❤ ❤,0
I love you so much 💙 You are an inspiration in my life. 💙And even when things are bad I will love you no matter what,0
I'm in the notification squad and I'm one of the people to like first 😊 😊 😚 😋 😋,0
me omg Im so excited for magcon love you!!!!!😘,0
Oh my gosh well thank goodness everything is okay & it was only a dream. You're such a good friend Cam ❤️,0
please follow me cam I love u more than the world. I love u more than anything. Not enough words to describe u 😍😗 😙 😘 😚 😍.,0
please so cute skpy name is Sadiqa. didi ❤️ ❤️ I will be sorry if you do not call You are my big dream fans,0
pre birthday tweet HAPPY BIRTHDAY ❤ ❤ ❤ ❤ ❤😎 LOVE YOU SO MUCH. YOU'RE THE GREATEST EVER,0
that wasn't the reaction i was hoping for 😕,0
"we can't even wish you a happy birthday if we don't follow you bc people mistake us for posers, what a fucked up society😧",0
who you & Rachel 👀 that would've been cute if you two dated,0
"yes babe, we know it! I hope you have a great day ❤️ LOVE YA",0
you are so inspired today 😌 I love you ❤️ and thank you.,0
You is world : 🌎 My is world : Cameron Dallas,0
though I met you and meet your band for my tweet to 😅 I loved it. I think it's one of my favorite bands right now.,0
"i hope youre having a great day! ♡ is amazing & im so excited for 💫 follow me? — 21, 451",0
look what about was my last high school english exam today... great way to start the hmm? 😜 ❤️,0
Can he just hug me to forget all the bad things we've been threw 😩 😩 😭,0
"Can & wake up already, I'm tired of just laying in the dark 😂",0
Can my birthday come any faster 😭 1 month and 2 weeks away 🌬❄️,0
Can Next week come faster 😩 😩,0
Cannot wait for lunch time I'm so fkn hungry 😭 😭,0
Cannot wait till i pass my test so i can take squad out on dates ❤️,0
Cannot wait to babysit my sweet baby Trinity this weekend 😍,0
Cannot wait to babysit this cutie pie Tuesday night 😍,0
Cannot wait to be at the Bruins game tomorrow night 😍 😍 😍,0
Can't believe I really signed myself up for a wintermester class 😑 BUT on the bright side I won't have to do summer classes 🌞,0
Can't believe it all started 4 years ago in HighSchool. I love you and happy anniversary 😊 😘,0
"Cant believe i use to call you my "" bestfriend "" 😂 😂 😂",0
"Can't believe this fun, amazing, lovable person is turning 20. We love you so much 🎂",0
"Cant let none these "" tuff "" motherfuckers trick you out your freedom 😂 😂 😂",0
"Can't move on with this ganap last night. So much kilig 😍 😂 You're so pretty & humble. I love you, Miss",0
Can't sleep. Watchin one more chance. Super relate. 😂,0
"can't wait 4 the day i actually get 2 leave this shit life (*coughcough* December 24th, 2017 my 18th bday ) & create my own w/ the ones i ❤️",0
Can't wait for after school 😩,0
Cant wait for a nice cold this eve ❄,0
Can't wait for convention 😊,0
Can't wait for high school season ⚽️ ❤️,0
can't wait for thanksgiving break 😅 im tired of school.,0
can't wait for this world history field trip with my bff 😜,0
Can't wait tell HighSchool Basketball Games come 😻,0
Can't wait till he's older so me and John can babysit him ☺️ ☺️ ☺️,0
Can't wait till I get home so I can take a shower and crash 😫,0
Can't wait til this weekend 😫 is Saturday 🙇,0
can't wait to babysit Bliss these next two weekends ☺️,0
can't wait to babysit makayla Friday 😍,0
Can't wait to babysit my favorite twins Friday 😍 😍 😍,0
Can't wait to babysit Samir omg ❤️,0
can't wait to babysit the twins 😌,0
Can't wait to babysit this weekend I've missed them 😪,0
Can't wait to be in Norman for the OU and TCU game tomorrow night! ⭕️,0
can't wait to fight these bandwagon hoes when Zayn drops his album 😛,0
can't wait to finish school & start my career 😁,0
Can't wait to get home. Coz I need to charge my phone! 😂 😂 😂,0
"Cant wait to get home, snuggle up in my pj's with a nice cuppa ☕️ 😴",0
Can't wait to get home 😪 why is time going so slow ffs,0
Cant wait to get my life in class tomorrow 😍😌,0
Can't wait to get these two tattoos 😻,0
Can't wait to go in a couple of weeks! 🇸🇸,0
can't wait to go to this dance convention Sunday 😝,0
Can't wait to play tonight after work 😉😉😉😉,0
"Can't wait to play tonight! Debuting "" The Black Mambas "" 😈",0
can't wait to play tonight in the championship game with my favorite people ⚽️,0
Can't wait to skip school for ice fishing 😩 😩,0
Can't wait to wake up to it snowing next year 😻🐻💙,0
CAN WE APPRECIATE THIS VIDEO I TOOK OF SUZANNE AND AMANDLA BLESSING EACH OTHER 😭 feels af,0
Can we please talk about Harry's muscles? I love being dead 😏 One Direction,0
"Can y'all pronounce this shit? It says disodium, dihydrogen, ethyleneuhhhwhatthefuck "" IM CRYING 😂",0
can you like 14 answers of ? thank you so much ♥ — Shoo. -Mallu.,0
Can you please make Bea Miller and Jacob Whitesides lockscreens? (Like of them together ) Thank you 😘 ❤️ — Okay -h,0
Can you tell me what are the title of lay solo/ost song. Thank you 😆 — u mean the one inside his movies? n_n,0
Can ziyah hurry up and come already 😩 😩 😩 I can't wait to meet you 👶🍼,0
I support you from Japan <;3 Please follow me ❤Do you know how i love you? :) 143 xxx,0
"marriage tip! Been married 17years! be quick to forgive, never go to bed mad, always love each other unconditionally ❤️ ❤️ 😘",0
"Carter : "" I made a friggen mess "" I really need to watch what I say 😂 😂",0
thank you for an amazing night and to everyone else that helped 😍 most fun i've had in a long time,0
"Catching them... i dnt giv a fuck if u do, i do too jst dnt fucken get caught 😠😠😠",0
catch me at the Cerritos football game tomorrow night supporting my boys 😇,0
Catch me laying in the dark on my phone every night ✌️,0
"Cause he's my MCE, all day this one ♥ "" : Why Is Yo Bae Not Your MCM/WCW These Days? """,0
cause I'm only 15 & I'm only getting better 😈,0
My much loved rescue. Yes you are right Yoda... lol 😁,0
well my friend works there and it was confirmed it was a bomb 😂,0
they just think you look cool. 😉,0
Certification test today 😫 I pray that I pass but I know I got this ☺️,0
Chance keeps waking up and falling back asleep in like 10 seconds and I don't think he realizes I'm right here awake too 😂 😂 😂 😂 I love you,0
changed the pitch and I'm... dead 😍,0
Charlie just came in the house saying that the neighbors have just got to know his secret. he walked out of the house and yelled I love IA! ❤️,0
Chemistry is not fun! 😓 😓,0
It was 😊it also got pretty chilly at night so I'm not sure how hiking in the winter will be but I'm determined to enjoy it 😋,0
